a,x,y,z,a,
9.39E+13,0.021547815,0.074220255,0.035913024,3,acc
9.39E+13,0.016759412,-0.01436521,0.031124622,3,acc
9.39E+13,0.004788403,-0.016759412,0.090979666,3,acc
9.39E+13,0.055066638,0.016759412,0,3,acc
9.39E+13,-0.002394202,-0.04309563,0.110133275,3,acc
9.39E+13,-0.055066638,0.031124622,0.055066638,3,acc
9.39E+13,0.021547815,-0.04070143,0.08619126,3,acc
9.39E+13,0.02873042,-0.059855044,0.035913024,3,acc
9.39E+13,0.019153614,-0.090979666,0.05746084,3,acc
9.39E+13,0.01436521,-0.04070143,0.059855044,3,acc
9.39E+13,0,-0.04309563,0.01436521,3,acc
9.39E+13,0.038307227,0.007182605,0.04070143,3,acc
9.39E+13,0.023942016,0,0.021547815,3,acc
9.39E+13,0.033518825,0.05746084,0.019153614,3,acc
9.39E+13,0.045489833,0.031124622,0.074220255,3,acc
9.39E+13,-0.011971008,-0.04309563,0.045489833,3,acc
9.39E+13,0.007182605,-0.059855044,0.05746084,3,acc
9.39E+13,0.038307227,-0.08619126,0.062249243,3,acc
9.39E+13,-0.009576807,-0.023942016,0.06943185,3,acc
9.39E+13,0.033518825,0.031124622,0.05746084,3,acc
9.39E+13,0.031124622,0.02633622,0.074220255,3,acc
9.39E+13,0.08379706,-0.04309563,0.06464344,3,acc
9.39E+13,0.05267244,0,0.05267244,3,acc
9.39E+13,-0.007182605,-0.007182605,0.10055647,3,acc
9.39E+13,-0.06464344,-0.047884032,0.035913024,3,acc
9.39E+13,-0.038307227,-0.023942016,0.093373865,3,acc
9.39E+13,0.074220255,0.004788403,0.06703765,3,acc
9.39E+13,-0.02633622,0.023942016,-0.011971008,3,acc
9.39E+13,0.035913024,-0.007182605,0.047884032,3,acc
9.39E+13,0.045489833,0.021547815,0.033518825,3,acc
9.39E+13,-0.090979666,-0.02633622,0.02873042,3,acc
9.39E+13,-0.047884032,0.035913024,0.01436521,3,acc
9.39E+13,-0.02873042,-0.093373865,0.07182605,3,acc
9.39E+13,0.009576807,-0.1364695,0.062249243,3,acc
9.39E+13,0.011971008,-0.019153614,0.088585466,3,acc
9.39E+13,0.004788403,0.12449849,0.04070143,3,acc
9.39E+13,0.095768064,0.021547815,0.06464344,3,acc
9.39E+13,-0.011971008,-0.002394202,0.074220255,3,acc
9.39E+13,-0.009576807,-0.050278235,0.11971009,3,acc
9.39E+13,0.021547815,-0.021547815,0.08379706,3,acc
9.39E+13,-0.02633622,-0.004788403,0.055066638,3,acc
9.39E+13,-0.035913024,-0.019153614,0.02873042,3,acc
9.39E+13,-0.038307227,0.021547815,0.011971008,3,acc
9.39E+13,0.12210429,0.007182605,0.076614454,3,acc
9.39E+13,0.016759412,-0.04070143,0.095768064,3,acc
9.39E+13,0.004788403,0.01436521,0.038307227,3,acc
9.39E+13,0.004788403,0.074220255,0.10055647,3,acc
9.39E+13,0.04309563,-0.055066638,0.06464344,3,acc
9.39E+13,-0.033518825,-0.06943185,0.050278235,3,acc
9.39E+13,-0.004788403,0,0.05267244,3,acc
9.39E+13,0.019153614,-0.021547815,0.088585466,3,acc
9.39E+13,0.019153614,0.023942016,0.110133275,3,acc
9.39E+13,-0.04070143,0.019153614,0.019153614,3,acc
9.39E+13,-0.10295067,0.038307227,0.055066638,3,acc
9.39E+13,0.023942016,-0.15562311,0.047884032,3,acc
9.39E+13,0.02633622,-0.011971008,0.09816227,3,acc
9.39E+13,0.004788403,-0.031124622,0.090979666,3,acc
9.39E+13,-0.04070143,-0.011971008,0.01436521,3,acc
9.39E+13,-0.011971008,-0.002394202,0.038307227,3,acc
9.39E+13,0.06703765,-0.016759412,0.05267244,3,acc
9.39E+13,0.07182605,0.04309563,0.062249243,3,acc
9.39E+13,0.02633622,-0.011971008,0.045489833,3,acc
9.39E+13,0.055066638,-0.04070143,0.10534488,3,acc
9.39E+13,-0.009576807,-0.021547815,0.08619126,3,acc
9.39E+13,-0.035913024,-0.031124622,0.06703765,3,acc
9.39E+13,-0.035913024,0.055066638,0.06943185,3,acc
9.39E+13,0.009576807,0.016759412,0.031124622,3,acc
9.39E+13,0.09816227,0,0.06703765,3,acc
9.39E+13,0.019153614,-0.08379706,0.05267244,3,acc
9.39E+13,0.007182605,-0.02873042,0.059855044,3,acc
9.39E+13,0.04070143,-0.045489833,0.076614454,3,acc
9.39E+13,-0.06464344,0.01436521,0.02873042,3,acc
9.39E+13,0.06703765,-0.047884032,0.076614454,3,acc
9.39E+13,0.088585466,0.045489833,0.08619126,3,acc
9.39E+13,-0.05746084,0.031124622,0.033518825,3,acc
9.39E+13,0.009576807,-0.110133275,0.038307227,3,acc
9.39E+13,0.021547815,-0.14604631,0.059855044,3,acc
9.39E+13,-0.023942016,-0.02633622,0.062249243,3,acc
9.39E+13,0.02873042,0.035913024,0.047884032,3,acc
9.39E+13,0.10055647,0.079008654,0.06943185,3,acc
9.39E+13,-0.02633622,-0.06464344,0.10295067,3,acc
9.39E+13,-0.059855044,-0.04070143,0.002394202,3,acc
9.39E+13,-0.090979666,0.01436521,0.033518825,3,acc
9.39E+13,-0.019153614,0.004788403,0.02873042,3,acc
9.39E+13,0.033518825,-0.02633622,0.12689269,3,acc
9.39E+13,-0.06943185,-0.007182605,0.016759412,3,acc
9.39E+13,-0.038307227,0.009576807,0.062249243,3,acc
9.39E+13,-0.062249243,0.074220255,0.06703765,3,acc
9.39E+13,-0.062249243,0.05746084,0.02873042,3,acc
9.39E+13,0.076614454,-0.07182605,0.06703765,3,acc
9.39E+13,0.004788403,-0.047884032,0.05267244,3,acc
9.39E+13,0.002394202,-0.06943185,0.01436521,3,acc
9.39E+13,0.02873042,-0.047884032,0.045489833,3,acc
9.39E+13,-0.035913024,-0.038307227,0.045489833,3,acc
9.39E+13,-0.031124622,0.02873042,0.016759412,3,acc
9.39E+13,0.02633622,-0.035913024,0.045489833,3,acc
9.39E+13,0.05267244,-0.07182605,0.074220255,3,acc
9.39E+13,-0.019153614,-0.02873042,0.011971008,3,acc
9.39E+13,-0.021547815,-0.021547815,0.093373865,3,acc
9.39E+13,-0.045489833,0.02633622,0.019153614,3,acc
9.39E+13,-0.021547815,-0.02633622,0.045489833,3,acc
9.39E+13,-0.002394202,-0.02873042,0.08619126,3,acc
9.39E+13,-0.002394202,-0.038307227,0.016759412,3,acc
9.39E+13,0.023942016,0.004788403,0.016759412,3,acc
9.39E+13,-0.01436521,-0.01436521,0.10055647,3,acc
9.39E+13,0.007182605,0.004788403,0.08619126,3,acc
9.39E+13,-0.002394202,-0.01436521,0.023942016,3,acc
9.39E+13,-0.009576807,0.033518825,0.08379706,3,acc
9.39E+13,0.04070143,-0.045489833,0.031124622,3,acc
9.39E+13,0.04309563,-0.009576807,0.093373865,3,acc
9.39E+13,0.02633622,-0.031124622,0.062249243,3,acc
9.39E+13,-0.02873042,-0.009576807,0.02873042,3,acc
9.39E+13,0.007182605,-0.021547815,0.045489833,3,acc
9.39E+13,0.019153614,-0.031124622,0.06943185,3,acc
9.39E+13,-0.05746084,0.07182605,0.031124622,3,acc
9.39E+13,-0.045489833,-0.023942016,-0.023942016,3,acc
9.39E+13,-0.021547815,-0.038307227,0.06464344,3,acc
9.39E+13,0.011971008,-0.04070143,0.055066638,3,acc
9.39E+13,-0.02873042,0.05746084,0.035913024,3,acc
9.39E+13,0.04070143,0.007182605,0.10534488,3,acc
9.39E+13,0.016759412,0.047884032,0,3,acc
9.39E+13,0.02873042,-0.04070143,0.004788403,3,acc
9.39E+13,0.023942016,-0.038307227,0.05746084,3,acc
9.39E+13,-0.038307227,0.021547815,0.031124622,3,acc
9.39E+13,-0.05267244,0.055066638,0.095768064,3,acc
9.39E+13,-0.01436521,-0.02873042,0.07182605,3,acc
9.39E+13,0.009576807,-0.10534488,-0.011971008,3,acc
9.39E+13,0.021547815,0.019153614,0.059855044,3,acc
9.39E+13,0.06943185,0.079008654,0.021547815,3,acc
9.39E+13,0.031124622,0.05267244,0.038307227,3,acc
9.39E+13,0.055066638,0.019153614,0.045489833,3,acc
9.39E+13,-0.05267244,-0.047884032,0.016759412,3,acc
9.39E+13,0.02633622,-0.12928689,0.062249243,3,acc
9.39E+13,0.009576807,-0.076614454,0.02873042,3,acc
9.39E+13,0.004788403,-0.090979666,-0.02633622,3,acc
9.39E+13,-0.002394202,-0.047884032,0.04309563,3,acc
9.39E+13,0.047884032,-0.06703765,0.04070143,3,acc
9.39E+13,-0.055066638,-0.016759412,0.007182605,3,acc
9.39E+13,-0.06703765,0.09816227,0.06464344,3,acc
9.39E+13,0.004788403,0.04309563,0.038307227,3,acc
9.39E+13,0.016759412,-0.031124622,0.031124622,3,acc
9.39E+13,0.050278235,-0.07182605,-0.002394202,3,acc
9.39E+13,0.04070143,-0.04070143,0.004788403,3,acc
9.39E+13,-0.023942016,0.05746084,0.01436521,3,acc
9.39E+13,0.023942016,0.033518825,0.076614454,3,acc
9.39E+13,0.019153614,0.002394202,0.107739076,3,acc
9.39E+13,-0.019153614,-0.02633622,0.011971008,3,acc
9.39E+13,-0.004788403,-0.074220255,0.038307227,3,acc
9.39E+13,0.004788403,-0.002394202,0.1316811,3,acc
9.39E+13,-0.009576807,0.007182605,0.05267244,3,acc
9.39E+13,-0.009576807,0.074220255,0.031124622,3,acc
9.39E+13,0.11731588,-0.011971008,0.02633622,3,acc
9.39E+13,0.035913024,-0.007182605,0.12449849,3,acc
9.39E+13,-0.021547815,0.019153614,0.007182605,3,acc
9.39E+13,0.011971008,0.01436521,0.02633622,3,acc
9.39E+13,-0.004788403,-0.031124622,0.1388637,3,acc
9.39E+13,-0.01436521,-0.11731588,0.06943185,3,acc
9.39E+13,0.05267244,0.009576807,0.02633622,3,acc
9.39E+13,0.038307227,0.04070143,0.01436521,3,acc
9.39E+13,0.016759412,-0.079008654,0.04309563,3,acc
9.39E+13,0.031124622,-0.035913024,0.055066638,3,acc
